# Downloaded on 2020-02-05 from https://sandbag.org.uk/carbon-price-viewer/ by Markus Fleschutz

"Date","Price"
"2011-05-30 00:00:00",16,558
"2011-06-06 00:00:00",16,34
"2011-06-13 00:00:00",15,962
"2011-06-20 00:00:00",13,866
"2011-06-27 00:00:00",13,069999999999999
"2011-07-04 00:00:00",13,057999999999998
"2011-07-11 00:00:00",12,123999999999999
"2011-07-18 00:00:00",12,6
"2011-07-25 00:00:00",12,48
"2011-08-01 00:00:00",11,324000000000002
"2011-08-08 00:00:00",11,588000000000001
"2011-08-15 00:00:00",12,386
"2011-08-22 00:00:00",12,85
"2011-08-29 00:00:00",12,944000000000003
"2011-09-05 00:00:00",12,133999999999999
"2011-09-12 00:00:00",12,044
"2011-09-19 00:00:00",11,556000000000001
"2011-09-26 00:00:00",10,745000000000001
"2011-10-03 00:00:00",10,286
"2011-10-10 00:00:00",10,559999999999999
"2011-10-17 00:00:00",10,241999999999999
"2011-10-24 00:00:00",10,383999999999999
"2011-10-31 00:00:00",9,728
"2011-11-07 00:00:00",9,975999999999999
"2011-11-14 00:00:00",9,792
"2011-11-21 00:00:00",8,408
"2011-11-28 00:00:00",8,014
"2011-12-05 00:00:00",7,464
"2011-12-12 00:00:00",6,9079999999999995
"2011-12-19 00:00:00",7,859999999999999
"2011-12-26 00:00:00",7,355
"2012-01-02 00:00:00",6,345
"2012-01-09 00:00:00",6,7700000000000005
"2012-01-16 00:00:00",6,752
"2012-01-23 00:00:00",7,411999999999999
"2012-01-30 00:00:00",8,11
"2012-02-06 00:00:00",8,14
"2012-02-13 00:00:00",8,274
"2012-02-20 00:00:00",8,857999999999999
"2012-02-27 00:00:00",8,780000000000001
"2012-03-05 00:00:00",8,303999999999998
"2012-03-12 00:00:00",7,731999999999999
"2012-03-19 00:00:00",7,095999999999999
"2012-03-26 00:00:00",6,938
"2012-04-02 00:00:00",6,33
"2012-04-09 00:00:00",6,912000000000001
"2012-04-16 00:00:00",7,138000000000001
"2012-04-23 00:00:00",7,126
"2012-04-30 00:00:00",7,146000000000001
"2012-05-07 00:00:00",6,682
"2012-05-14 00:00:00",6,458
"2012-05-21 00:00:00",6,747999999999999
"2012-05-28 00:00:00",6,453999999999999
"2012-06-04 00:00:00",6,434
"2012-06-11 00:00:00",6,81
"2012-06-18 00:00:00",7,572
"2012-06-25 00:00:00",8,024000000000001
"2012-07-02 00:00:00",8,206
"2012-07-09 00:00:00",7,806
"2012-07-16 00:00:00",7,261999999999999
"2012-07-23 00:00:00",6,998
"2012-07-30 00:00:00",6,9079999999999995
"2012-08-06 00:00:00",7,194
"2012-08-13 00:00:00",7,611428571428571
"2012-08-20 00:00:00",7,871428571428572
"2012-08-27 00:00:00",7,818571428571429
"2012-09-03 00:00:00",8,225999999999999
"2012-09-10 00:00:00",7,706
"2012-09-17 00:00:00",7,462000000000001
"2012-09-24 00:00:00",7,63
"2012-10-01 00:00:00",7,772
"2012-10-08 00:00:00",7,8340000000000005
"2012-10-15 00:00:00",8,004
"2012-10-22 00:00:00",7,808
"2012-10-29 00:00:00",8,126
"2012-11-05 00:00:00",8,29
"2012-11-12 00:00:00",7,888000000000001
"2012-11-19 00:00:00",6,804
"2012-11-26 00:00:00",6,659999999999999
"2012-12-03 00:00:00",6,1979999999999995
"2012-12-10 00:00:00",6,780000000000001
"2012-12-17 00:00:00",6,904000000000001
"2012-12-24 00:00:00",6,825
"2012-12-31 00:00:00",6,32
"2013-01-07 00:00:00",6,096000000000001
"2013-01-14 00:00:00",5,5200000000000005
"2013-01-21 00:00:00",4,5840000000000005
"2013-01-28 00:00:00",3,846000000000001
"2013-02-04 00:00:00",4,222
"2013-02-11 00:00:00",4,83
"2013-02-18 00:00:00",4,934
"2013-02-25 00:00:00",4,482
"2013-03-04 00:00:00",4,256
"2013-03-11 00:00:00",3,6659999999999995
"2013-03-18 00:00:00",3,8520000000000003
"2013-03-25 00:00:00",4,647500000000001
"2013-04-01 00:00:00",4,906000000000001
"2013-04-08 00:00:00",4,6080000000000005
"2013-04-15 00:00:00",3,308
"2013-04-22 00:00:00",2,968
"2013-04-29 00:00:00",3,194
"2013-05-06 00:00:00",3,6119999999999997
"2013-05-13 00:00:00",3,4840000000000004
"2013-05-20 00:00:00",3,444
"2013-05-27 00:00:00",3,686
"2013-06-03 00:00:00",3,932
"2013-06-10 00:00:00",4,348000000000001
"2013-06-17 00:00:00",4,464
"2013-06-24 00:00:00",4,2780000000000005
"2013-07-01 00:00:00",4,402
"2013-07-08 00:00:00",4,108
"2013-07-15 00:00:00",4,1160000000000005
"2013-07-22 00:00:00",4,27
"2013-07-29 00:00:00",4,324
"2013-08-05 00:00:00",4,46
"2013-08-12 00:00:00",4,33
"2013-08-19 00:00:00",4,39
"2013-08-26 00:00:00",4,532
"2013-09-02 00:00:00",4,74
"2013-09-09 00:00:00",5,3340000000000005
"2013-09-16 00:00:00",5,468
"2013-09-23 00:00:00",5,4
"2013-09-30 00:00:00",5,152
"2013-10-07 00:00:00",4,806
"2013-10-14 00:00:00",5,086
"2013-10-21 00:00:00",4,720000000000001
"2013-10-28 00:00:00",4,864
"2013-11-04 00:00:00",4,630000000000001
"2013-11-11 00:00:00",4,571428571428571
"2013-11-18 00:00:00",4,422857142857143
"2013-11-25 00:00:00",4,409999999999999
"2013-12-02 00:00:00",4,638571428571429
"2013-12-09 00:00:00",4,9
"2013-12-16 00:00:00",4,837999999999999
"2013-12-23 00:00:00",4,8925
"2013-12-30 00:00:00",4,8125
"2014-01-06 00:00:00",4,59
"2014-01-13 00:00:00",4,937142857142858
"2014-01-20 00:00:00",5,13
"2014-01-27 00:00:00",5,522857142857142
"2014-02-03 00:00:00",6,2042857142857155
"2014-02-10 00:00:00",6,444285714285714
"2014-02-17 00:00:00",6,974285714285714
"2014-02-24 00:00:00",6,767142857142857
"2014-03-03 00:00:00",6,798333333333333
"2014-03-10 00:00:00",6,586
"2014-03-17 00:00:00",6,022857142857142
"2014-03-24 00:00:00",5,403999999999999
"2014-03-31 00:00:00",4,806
"2014-04-07 00:00:00",5,034
"2014-04-14 00:00:00",5,4375
"2014-04-21 00:00:00",5,5280000000000005
"2014-04-28 00:00:00",5,319999999999999
"2014-05-05 00:00:00",5,184
"2014-05-12 00:00:00",5,048
"2014-05-19 00:00:00",4,986000000000001
"2014-05-26 00:00:00",5,1419999999999995
"2014-06-02 00:00:00",5,388
"2014-06-09 00:00:00",5,518000000000001
"2014-06-16 00:00:00",5,634
"2014-06-23 00:00:00",5,74
"2014-06-30 00:00:00",5,922
"2014-07-07 00:00:00",5,708
"2014-07-14 00:00:00",6,002000000000001
"2014-07-21 00:00:00",6,1160000000000005
"2014-07-28 00:00:00",6,166
"2014-08-04 00:00:00",6,11
"2014-08-11 00:00:00",6,215999999999999
"2014-08-18 00:00:00",6,3740000000000006
"2014-08-25 00:00:00",6,353999999999999
"2014-09-01 00:00:00",6,292
"2014-09-08 00:00:00",6,122
"2014-09-15 00:00:00",5,9159999999999995
"2014-09-22 00:00:00",5,828000000000001
"2014-09-29 00:00:00",5,754
"2014-10-06 00:00:00",5,924
"2014-10-13 00:00:00",6,128333333333334
"2014-10-20 00:00:00",6,26
"2014-10-27 00:00:00",6,327999999999999
"2014-11-03 00:00:00",6,622
"2014-11-10 00:00:00",6,756
"2014-11-17 00:00:00",6,984
"2014-11-24 00:00:00",7,0925
"2014-12-01 00:00:00",6,862
"2014-12-08 00:00:00",6,672
"2014-12-15 00:00:00",7,0040000000000004
"2014-12-22 00:00:00",7,294999999999999
"2014-12-29 00:00:00",7,2
"2015-01-05 00:00:00",6,824000000000001
"2015-01-12 00:00:00",7,112
"2015-01-19 00:00:00",7,0760000000000005
"2015-01-26 00:00:00",6,967999999999999
"2015-02-02 00:00:00",7,023999999999999
"2015-02-09 00:00:00",7,272
"2015-02-16 00:00:00",7,464
"2015-02-23 00:00:00",7,345999999999999
"2015-03-02 00:00:00",6,85
"2015-03-09 00:00:00",6,626
"2015-03-16 00:00:00",6,734
"2015-03-23 00:00:00",6,95
"2015-03-30 00:00:00",7,0225
"2015-04-06 00:00:00",7,066
"2015-04-13 00:00:00",6,832000000000001
"2015-04-20 00:00:00",7,166000000000001
"2015-04-27 00:00:00",7,368
"2015-05-04 00:00:00",7,524000000000001
"2015-05-11 00:00:00",7,598000000000001
"2015-05-18 00:00:00",7,384
"2015-05-25 00:00:00",7,25
"2015-06-01 00:00:00",7,390000000000001
"2015-06-08 00:00:00",7,537999999999999
"2015-06-15 00:00:00",7,448
"2015-06-22 00:00:00",7,504
"2015-06-29 00:00:00",7,4300000000000015
"2015-07-06 00:00:00",7,473999999999999
"2015-07-13 00:00:00",7,726000000000001
"2015-07-20 00:00:00",7,9879999999999995
"2015-07-27 00:00:00",7,959999999999999
"2015-08-03 00:00:00",7,85
"2015-08-10 00:00:00",8,132
"2015-08-17 00:00:00",8,272
"2015-08-24 00:00:00",8,117999999999999
"2015-08-31 00:00:00",8,072
"2015-09-07 00:00:00",8,206
"2015-09-14 00:00:00",8,174000000000001
"2015-09-21 00:00:00",8,006
"2015-09-28 00:00:00",8,074000000000002
"2015-10-05 00:00:00",8,204
"2015-10-12 00:00:00",8,378
"2015-10-19 00:00:00",8,476
"2015-10-26 00:00:00",8,632
"2015-11-02 00:00:00",8,466000000000001
"2015-11-09 00:00:00",8,392
"2015-11-16 00:00:00",8,572
"2015-11-23 00:00:00",8,598
"2015-11-30 00:00:00",8,546
"2015-12-07 00:00:00",8,329999999999998
"2015-12-14 00:00:00",8,13
"2015-12-21 00:00:00",8,24
"2015-12-28 00:00:00",8,280000000000001
"2016-01-04 00:00:00",7,768000000000001
"2016-01-11 00:00:00",7,056
"2016-01-18 00:00:00",6,475999999999999
"2016-01-25 00:00:00",5,997999999999999
"2016-02-01 00:00:00",5,654000000000001
"2016-02-08 00:00:00",4,966
"2016-02-15 00:00:00",4,992
"2016-02-22 00:00:00",5,046
"2016-02-29 00:00:00",4,948
"2016-03-07 00:00:00",5,01
"2016-03-14 00:00:00",4,914
"2016-03-21 00:00:00",4,824999999999999
"2016-03-28 00:00:00",4,984
"2016-04-04 00:00:00",5,306
"2016-04-11 00:00:00",5,55
"2016-04-18 00:00:00",5,651999999999999
"2016-04-25 00:00:00",6,366
"2016-05-02 00:00:00",6,048
"2016-05-09 00:00:00",5,846
"2016-05-16 00:00:00",6,023999999999999
"2016-05-23 00:00:00",5,8759999999999994
"2016-05-30 00:00:00",6,014
"2016-06-06 00:00:00",6,084
"2016-06-13 00:00:00",5,786
"2016-06-20 00:00:00",5,526
"2016-06-27 00:00:00",4,614
"2016-07-04 00:00:00",4,68
"2016-07-11 00:00:00",4,712
"2016-07-18 00:00:00",4,684
"2016-07-25 00:00:00",4,505999999999999
"2016-08-01 00:00:00",4,564
"2016-08-08 00:00:00",4,8660000000000005
"2016-08-15 00:00:00",4,682
"2016-08-22 00:00:00",4,716
"2016-08-29 00:00:00",4,428
"2016-09-05 00:00:00",4,046
"2016-09-12 00:00:00",4,106
"2016-09-19 00:00:00",4,346000000000001
"2016-09-26 00:00:00",4,796
"2016-10-03 00:00:00",5,51
"2016-10-10 00:00:00",5,614
"2016-10-17 00:00:00",5,792
"2016-10-24 00:00:00",5,85
"2016-10-31 00:00:00",6,215999999999999
"2016-11-07 00:00:00",6,02
"2016-11-14 00:00:00",5,636000000000001
"2016-11-21 00:00:00",5,344
"2016-11-28 00:00:00",4,5280000000000005
"2016-12-05 00:00:00",4,448
"2016-12-12 00:00:00",4,888
"2016-12-19 00:00:00",5,694
"2016-12-26 00:00:00",6,3925
"2017-01-02 00:00:00",5,522
"2017-01-09 00:00:00",5,276
"2017-01-16 00:00:00",5,032
"2017-01-23 00:00:00",5,092
"2017-01-30 00:00:00",5,23
"2017-02-06 00:00:00",5,172
"2017-02-13 00:00:00",4,997999999999999
"2017-02-20 00:00:00",5,18
"2017-02-27 00:00:00",5,474000000000001
"2017-03-06 00:00:00",5,272
"2017-03-13 00:00:00",5,142
"2017-03-20 00:00:00",4,922
"2017-03-27 00:00:00",4,74
"2017-04-03 00:00:00",4,848
"2017-04-10 00:00:00",4,875
"2017-04-17 00:00:00",4,782
"2017-04-24 00:00:00",4,563999999999999
"2017-05-01 00:00:00",4,494
"2017-05-08 00:00:00",4,434
"2017-05-15 00:00:00",4,618
"2017-05-22 00:00:00",4,946000000000001
"2017-05-29 00:00:00",5,106
"2017-06-05 00:00:00",5,017999999999999
"2017-06-12 00:00:00",4,932
"2017-06-19 00:00:00",4,890000000000001
"2017-06-26 00:00:00",4,941999999999999
"2017-07-03 00:00:00",5,168
"2017-07-10 00:00:00",5,388
"2017-07-17 00:00:00",5,326
"2017-07-24 00:00:00",5,164
"2017-07-31 00:00:00",5,337999999999999
"2017-08-07 00:00:00",5,324
"2017-08-14 00:00:00",5,686
"2017-08-21 00:00:00",5,894
"2017-08-28 00:00:00",5,978
